0.0078013,-1.4099,-0.77541,-0.58817,-0.34921
0.0078013,-0.70343,-0.90348,-0.48813,-1.3959
0.0078013,0.70957,0.061814,1.2951,1.6153
-1.2207,0.70957,-1.3877,-1.2132,-1.2998
1.2364,0.70957,-1.1635,-0.95048,-0.17671
1.2364,1.4161,-0.90915,-0.89388,0.013859
1.2364,0.70957,-0.38257,-1.5169,-0.47864
1.2364,0.70957,0.97368,1.6249,1.6515
1.2364,1.4161,-0.52965,0.62446,-1.1015
0.0078013,-1.4099,-0.65507,1.4,-0.79414
0.0078013,-0.70343,-0.93772,1.1568,0.70858
-1.2207,1.4161,1.5434,-0.14858,-0.85777
1.2364,-0.70343,0.19605,0.82996,1.3325
0.0078013,0.70957,1.6364,0.10676,0.90231
0.0078013,0.0030733,-0.54407,-1.2492,-0.053709
-1.2207,1.4161,1.6464,-1.1856,-0.2726
-1.2207,-0.70343,-0.14141,-1.6871,-1.0772
1.2364,0.0030733,1.1736,0.15318,1.0118
1.2364,1.4161,1.3458,-0.56744,1.6215
-1.2207,-0.70343,-0.38064,-1.1668,-0.89861
1.2364,1.4161,0.5679,1.5066,0.88815
0.0078013,0.0030733,0.11238,0.86157,1.1477
0.0078013,1.4161,0.36087,-1.4415,-1.4165
-1.2207,0.70957,-1.1688,-1.6429,-1.4898
0.0078013,0.0030733,-1.5078,1.3803,-0.53904
1.2364,-0.70343,0.17056,-1.6434,1.1278
-1.2207,-1.4099,-0.75659,-0.52596,0.11702
1.2364,0.70957,-0.89789,1.7157,0.88673
1.2364,1.4161,-0.89,1.0459,-1.4521
0.0078013,0.70957,1.5381,-0.2168,-0.75099
1.2364,0.70957,1.0106,-0.56226,1.3505
0.0078013,1.4161,-0.98794,0.94428,0.34217
1.2364,0.70957,1.318,0.51646,-0.8354
1.2364,1.4161,-0.27664,0.61639,-0.0092309
0.0078013,-1.4099,1.0009,-0.7992,-0.3654
-1.2207,-1.4099,0.64561,-1.0098,1.4613
-1.2207,0.70957,0.89067,-1.5769,0.0077949
0.0078013,-1.4099,1.2466,-0.043198,0.46019
0.0078013,1.4161,0.82783,-1.7258,-0.16293
-1.2207,0.0030733,-0.83328,-0.32042,1.6212
0.0078013,-0.70343,-0.057865,1.5394,-0.42435
1.2364,0.0030733,-1.241,-0.96088,0.8985
0.0078013,1.4161,-1.5888,-1.3392,-0.14291
-1.2207,0.0030733,0.95457,1.7039,1.0411
-1.2207,-0.70343,-0.05944,1.0727,-0.15379
